ID,Year_Birth,Education,Marital_Status,Income,KidsInHome,TeensInHome,CustomerJoinDate,AmmountSpentOnWine,AmmountSpentOnFruit,AmmountSpentOnMeatProducts,AmmountSpentOnFish,AmmountSpentOnSweetProducts,AmmountSpentOnGold,NumberPurchasesWithDiscount,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,NumberOfWebsiteVisits,Accepted3rdCampaignOffer,Accepted4thCampaignOffer,Accepted5thCampaignOffer,Accepted1stCampaignOffer,Accepted2ndCampaignOffer,ComplainedInLast2Years,AcceptedLastCampaignOffer,Age,Revenue,Purchases,AverageOrderValue,MostRecentPurchase,AcceptedAnyCampaignOrDiscount,CustomerComplainedRecently
2267,1981,Master,Together,77882,1,1,4/30/14,65.7,129,396,188,22,15,1,3,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2268,1979,Graduation,Single,57537,0,0,10/6/13,172.65,56,139,51,8,100,4,4,3,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2269,1975,Graduation,Married,40794,0,0,7/4/13,239.17,23,73,4,23,50,2,6,3,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
2270,1946,PhD,Together,64014,2,1,10/6/14,406,0,30,0,0,8,7,8,2,7,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,77,HIGH ($250-$100),VERY HIGH (>15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2271,1962,Graduation,Single,57967,0,1,3/3/13,229,7,137,4,0,91,5,4,2,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2272,1971,Graduation,Together,71819,0,0,8/28/13,1282.8,28,140,0,14,168,3,3,3,5,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,52,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
2273,1987,PhD,Single,42000,0,0,10/1/13,115.25,83,267,85,59,35,2,5,2,11,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2274,1975,2n Cycle,Together,46772,0,1,7/11/12,366.35,104,189,197,151,57,6,11,8,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2275,1992,Graduation,Single,55435,0,0,10/9/12,351,16,156,7,5,145,1,6,4,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2276,1966,Graduation,Together,70713,0,1,3/12/12,736,114,279,82,76,190,6,5,6,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2277,1977,Graduation,Together,46931,2,1,4/24/14,40.95,0,17,3,1,16,2,1,1,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
2278,1955,Master,Single,36927,1,1,2/6/14,51,0,16,0,0,4,2,3,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2279,1949,Master,Married,36408,0,0,9/21/13,9,1,4,3,2,3,1,1,0,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2280,1982,2n Cycle,Single,74116,0,0,12/30/13,1231.71,111,704,145,55,166,1,4,4,10,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2281,1971,Graduation,Widow,30372,1,1,12/25/12,18.35,0,12,7,3,7,3,2,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2282,1973,Graduation,Married,79593,0,0,12/5/14,351.76,60,568,110,133,145,1,5,6,7,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
2283,1974,PhD,Single,68352,0,0,8/28/13,758.27,16,132,43,33,33,3,8,5,9,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2284,1969,Graduation,Married,26304,1,0,6/23/13,3.58,1,5,2,0,4,1,1,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2285,1978,Graduation,Single,7500,1,1,12/27/12,6.49,5,4,13,4,25,4,2,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2286,1959,2n Cycle,Divorced,59052,0,1,11/17/13,230,35,75,63,57,31,3,7,1,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2287,1986,Basic,Married,20425,1,0,10/29/12,3.31,12,5,3,16,17,2,2,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2288,1961,Master,Married,61794,0,1,9/14/13,264,47,188,54,47,11,2,4,4,12,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
2289,1965,2n Cycle,Married,46891,0,1,1/9/13,43,12,23,29,15,61,1,2,1,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
2290,1953,Master,Widow,84953,0,0,3/6/13,167,48,602,63,72,72,1,3,10,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,70,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
2291,1956,Graduation,Married,71391,0,1,3/29/13,336,123,274,46,123,141,5,6,5,17,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2292,1970,Graduation,Together,19656,1,0,8/2/13,29.25,4,9,6,8,32,3,2,1,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2293,1970,Master,Single,29548,1,0,8/29/13,5.11,1,6,3,1,11,1,1,1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2294,1965,Graduation,Married,44375,0,1,3/23/14,213,5,28,7,7,41,1,4,1,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
2295,1975,2n Cycle,Married,17003,1,0,9/12/13,2.54,5,12,4,8,7,3,2,0,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,LOW (<=$50),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2296,1970,Graduation,Single,30015,0,0,2/2/14,26.03,0,22,2,3,5,2,1,0,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2297,1982,Graduation,Married,63211,0,0,2/11/12,131.19,193,459,205,26,145,2,3,8,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
2298,1965,Graduation,Together,33456,1,1,4/21/14,7,3,10,8,1,7,2,1,0,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
2299,1976,Master,Together,30560,1,0,6/27/13,8.41,1,5,4,5,7,1,1,0,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2300,1976,Graduation,Married,7500,0,0,1/8/12,5.81,0,12,13,7,32,5,4,1,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2301,1987,Graduation,Married,17323,0,0,10/10/12,2.9,14,17,6,1,5,1,1,0,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2302,1976,Master,Together,30560,0,0,6/27/13,9.6,1,5,4,5,7,1,1,0,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2303,1976,Graduation,Single,20180,0,0,2/20/13,13.25,42,24,15,20,18,1,2,1,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2304,1995,Graduation,Single,96811,0,0,9/3/14,283,17,372,138,106,44,1,3,8,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2305,1969,Graduation,Married,80952,0,0,2/28/13,837.72,178,689,41,27,44,1,8,5,11,10,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,54,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
2306,1954,Graduation,Single,36130,0,0,2/2/13,157,43,127,68,56,37,6,3,8,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,69,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2307,1975,Graduation,Together,59481,0,1,10/23/13,183.55,3,85,71,66,58,2,3,3,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2308,1977,Graduation,Single,35790,1,0,2/1/13,12.16,6,20,30,1,3,2,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2309,1962,Graduation,Single,57967,0,1,3/3/13,229,7,137,4,0,91,5,4,2,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2310,1960,PhD,Divorced,50611,0,1,4/10/12,459,0,24,6,0,4,6,4,5,6,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2311,1979,Graduation,Married,71626,0,0,1/11/12,509.28,72,376,94,145,72,1,5,5,8,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
2312,1970,PhD,Married,55158,1,1,7/30/12,255.42,0,87,4,11,23,4,7,2,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,53,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
2313,1970,Graduation,Married,69016,0,1,11/22/12,656.02,53,363,123,107,161,4,8,9,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
2314,1955,Graduation,Single,62535,0,1,3/10/13,163,48,90,0,45,52,1,3,2,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
2315,1971,PhD,Married,71969,0,1,10/16/12,833.71,0,76,0,0,10,3,3,4,9,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,HIGH ($250-$100),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
2316,1952,2n Cycle,Widow,28457,0,0,10/28/12,24,1,108,29,29,14,1,4,1,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
2317,1972,PhD,Together,83443,0,0,12/31/13,506.95,42,742,55,56,84,1,6,10,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
2318,1982,Graduation,Together,19444,0,0,2/22/14,17.24,0,23,3,2,10,3,4,1,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2319,1971,PhD,Married,37126,1,0,3/30/14,55.72,3,9,4,4,7,1,1,2,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
2320,1977,Graduation,Together,55375,0,0,10/17/13,40.34,11,57,10,28,14,1,1,1,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
2321,1954,Graduation,Married,38998,1,1,3/11/12,34,1,14,0,0,5,3,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,69,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,TRUE
2322,1956,Graduation,Divorced,26150,2,1,11/3/13,5,1,13,3,5,1,1,1,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
2323,1973,Graduation,Married,34961,1,0,6/19/14,41.38,2,26,4,1,1,3,3,1,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2324,1971,Master,Married,56850,0,1,3/23/14,35.39,1,19,2,7,0,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2325,1961,Graduation,Married,36443,1,1,3/2/13,65,0,46,4,3,20,4,3,1,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
2326,1966,Graduation,Together,37758,0,0,4/10/12,27,2,10,0,0,1,2,1,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2327,1967,PhD,Together,56575,0,0,5/5/13,421,5,90,0,16,10,3,7,3,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2328,1973,Graduation,Divorced,71128,1,0,6/10/12,652.03,159,447,20,0,31,3,2,10,12,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
2329,1988,Graduation,Single,34176,1,0,12/5/14,5.49,7,24,19,14,20,4,3,0,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2330,1966,Graduation,Together,37758,1,1,4/10/12,27,2,10,0,0,1,2,1,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2331,1954,2n Cycle,Single,42607,0,1,11/17/13,156,29,56,30,32,47,2,3,2,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,HIGH ($250-$100),MEDIUM (5-10),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2332,1969,Graduation,Together,68695,0,0,6/25/14,348.95,81,356,106,50,40,1,4,4,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
2333,1960,Master,Single,98777,0,0,2/17/14,1000,19,711,125,115,38,0,4,6,9,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2334,1989,Graduation,Married,87627,0,0,5/4/14,800,0,297,0,34,57,2,2,5,10,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,34,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2335,1982,Graduation,Married,42081,0,0,2/26/13,216.38,10,110,54,6,27,2,6,3,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2336,1984,Graduation,Together,35196,1,0,11/13/12,98.84,12,141,43,39,187,6,6,1,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
2337,1957,Graduation,Married,52852,0,1,1/12/12,714,8,99,11,0,47,4,10,7,5,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2338,1980,Graduation,Married,47850,0,0,3/12/13,45.56,7,43,20,12,10,1,3,0,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
2339,1976,Graduation,Single,20180,1,0,2/20/13,16.37,42,24,15,20,18,1,2,1,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2340,1954,Master,Together,60033,0,0,3/29/14,62,1,57,19,11,48,2,2,1,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2341,1959,Graduation,Together,71367,0,0,8/23/13,227,23,389,42,21,75,1,4,5,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2342,1966,Graduation,Together,37758,1,1,4/10/12,27,2,10,0,0,1,2,1,0,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2343,1959,Graduation,Together,38285,2,1,6/24/14,2,0,5,2,0,1,1,0,0,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,LOW (<=$50),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2344,1967,PhD,Married,77766,0,1,2/22/13,1004,59,265,115,59,27,2,11,10,11,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2345,1957,Graduation,Together,47320,0,1,1/8/13,200,19,111,50,15,19,6,5,1,7,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
2346,1965,Graduation,Together,36317,0,1,5/22/13,87,3,25,3,2,13,2,3,0,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2347,1971,Graduation,Married,66303,0,1,2/26/13,1015.52,12,96,16,12,60,4,3,4,11,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
2348,1986,PhD,Married,45921,0,0,10/3/14,85.74,9,49,24,3,12,1,2,1,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2349,1959,Graduation,Married,18690,0,0,12/28/12,6,1,7,23,4,19,1,1,1,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2350,1975,PhD,Married,45503,1,0,9/25/13,83.4,4,44,6,1,18,1,3,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2351,1951,Master,Together,59385,1,1,4/28/13,135,0,10,0,4,36,2,3,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
2352,1977,2n Cycle,Together,25315,1,0,7/11/13,0.72,9,8,11,3,22,3,3,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
2353,1973,PhD,Single,48432,0,1,10/18/12,409.01,3,50,4,3,42,5,7,1,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
2354,1988,Graduation,Alone,34176,1,0,12/5/14,4.24,7,24,19,14,20,4,3,0,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
2355,1976,Master,Married,33181,0,0,3/1/14,9.18,0,3,0,0,4,1,1,0,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,LOW (<=$50),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
2356,1947,PhD,Together,73059,0,1,8/31/13,410,112,420,0,82,71,1,9,3,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
2357,1978,Graduation,Together,42011,1,0,3/26/13,143.01,0,16,2,1,39,4,3,1,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
2358,1981,PhD,Married,58293,1,0,1/19/14,208.15,43,118,46,27,15,5,5,3,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
2359,1964,Graduation,Married,48920,0,2,10/20/13,238,17,68,8,10,6,3,6,2,4,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
2360,1977,Graduation,Together,157146,0,0,4/29/13,0.84,0,1725,2,1,1,0,0,28,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),FALSE,FALSE
2361,1957,Graduation,Together,47320,0,1,1/8/13,200,19,111,50,15,19,6,5,1,8,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
